episode,timestep,reward
26,600,22.3077
56,1200,20.0
80,1800,25.375
103,2400,26.3043
116,3000,46.1538
134,3600,32.4444
144,4200,60.3
154,4800,54.1
167,5400,48.7692
176,6000,69.5556
185,6600,65.6667
196,7200,54.1818
201,7800,117.4
208,8400,89.8571
211,9000,170.0
215,9600,172.25
217,10200,252.5
220,10800,197.0
223,11400,227.6667
226,12000,185.0
229,12600,225.6667
232,13200,198.6667
234,13800,239.5
237,14400,230.6667
240,15000,182.0
242,15600,300.0
245,16200,199.6667
247,16800,247.0
250,17400,226.3333
253,18000,178.0
256,18600,242.3333
258,19200,247.0
260,19800,237.5
263,20400,236.3333
266,21000,220.0
268,21600,267.0
271,22200,244.0
273,22800,235.5
275,23400,286.0
277,24000,277.5
280,24600,276.0
282,25200,251.5
284,25800,267.0
286,26400,300.0
288,27000,300.0
290,27600,300.0
293,28200,263.3333
295,28800,244.5
297,29400,235.0
300,30000,259.6667
302,30600,267.0
304,31200,289.5
306,31800,300.0
308,32400,269.5
310,33000,300.0
312,33600,290.0
315,34200,271.0
317,34800,273.5
319,35400,300.0
321,36000,290.0
324,36600,229.3333
326,37200,300.0
328,37800,271.0
331,38400,208.0
333,39000,249.5
335,39600,300.0
338,40200,221.3333
340,40800,270.0
343,41400,239.3333
345,42000,268.0
347,42600,257.5
349,43200,300.0
352,43800,204.0
354,44400,243.0
356,45000,298.0
358,45600,300.0
361,46200,248.3333
364,46800,149.6667
367,47400,290.3333
369,48000,283.0
371,48600,217.5
373,49200,300.0
377,49800,197.5
379,50400,240.0
381,51000,282.0
384,51600,240.0
386,52200,300.0
388,52800,297.0
390,53400,234.0
393,54000,246.0
395,54600,291.0
397,55200,242.0
399,55800,296.0
401,56400,300.0
403,57000,255.0
405,57600,300.0
407,58200,300.0
409,58800,299.5
411,59400,300.0
414,60000,289.0
416,60600,296.5
418,61200,283.0
420,61800,296.5
422,62400,240.0
424,63000,300.0
427,63600,235.6667
429,64200,300.0
431,64800,300.0
433,65400,300.0
435,66000,275.0
437,66600,256.5
440,67200,265.3333
442,67800,300.0
444,68400,300.0
446,69000,179.0
449,69600,255.6667
451,70200,256.5
454,70800,219.3333
456,71400,300.0
458,72000,300.0
460,72600,300.0
462,73200,300.0
464,73800,285.0
466,74400,300.0
468,75000,300.0
470,75600,288.0
472,76200,270.5
474,76800,300.0
476,77400,300.0
478,78000,300.0
480,78600,300.0
482,79200,300.0
484,79800,300.0
486,80400,300.0
488,81000,300.0
490,81600,300.0
492,82200,300.0
495,82800,267.6667
497,83400,290.0
499,84000,300.0
501,84600,300.0
503,85200,300.0
505,85800,300.0
507,86400,294.5
509,87000,282.5
511,87600,289.5
513,88200,300.0
515,88800,300.0
517,89400,296.0
519,90000,300.0
521,90600,300.0
523,91200,249.5
525,91800,300.0
527,92400,300.0
529,93000,300.0
531,93600,300.0
533,94200,300.0
535,94800,279.0
537,95400,300.0
539,96000,300.0
541,96600,293.5
544,97200,271.6667
546,97800,300.0
548,98400,300.0
550,99000,300.0
552,99600,268.5
