episode,timestep,reward
6,600,-69.8915
13,1200,-92.939
19,1800,-92.1684
26,2400,-76.4843
32,3000,-83.531
39,3600,-72.7446
45,4200,-58.0884
51,4800,-40.8342
57,5400,-53.5007
64,6000,-45.2201
68,6600,6.2329
72,7200,-64.0512
77,7800,-50.7633
82,8400,-47.2391
86,9000,7.7563
91,9600,-35.1615
93,10200,-27.9933
97,10800,-9.1585
100,11400,-43.6772
103,12000,21.8241
105,12600,54.923
107,13200,38.0932
109,13800,12.8292
111,14400,-5.4115
114,15000,38.2702
116,15600,-27.4711
119,16200,33.4523
121,16800,4.6944
123,17400,64.4639
126,18000,-52.126
129,18600,59.674
131,19200,70.7834
134,19800,17.9363
136,20400,79.6128
138,21000,71.0786
140,21600,73.4959
142,22200,76.8286
144,22800,88.7641
147,23400,-61.9625
149,24000,52.4514
151,24600,76.8267
153,25200,29.6617
156,25800,46.7947
158,26400,30.3027
160,27000,65.4863
163,27600,28.5283
165,28200,84.4118
167,28800,53.6504
169,29400,44.9692
171,30000,46.291
173,30600,82.3991
175,31200,101.4406
177,31800,100.1084
179,32400,118.4694
181,33000,89.8269
183,33600,103.4719
185,34200,105.2148
188,34800,79.7094
190,35400,23.4813
193,36000,77.162
195,36600,105.791
197,37200,-9.578
200,37800,51.686
202,38400,63.2449
205,39000,54.1304
207,39600,98.2938
209,40200,82.6776
211,40800,96.7509
213,41400,123.7764
215,42000,79.5237
217,42600,121.2893
220,43200,44.1707
223,43800,57.2581
225,44400,78.8413
227,45000,163.2889
229,45600,132.6897
231,46200,53.5165
234,46800,80.2502
236,47400,122.1348
238,48000,153.5887
240,48600,125.9346
242,49200,64.4861
244,49800,144.0126
247,50400,36.3911
249,51000,78.0373
252,51600,93.651
254,52200,-24.1159
256,52800,126.4423
258,53400,98.6815
261,54000,75.6722
263,54600,106.875
266,55200,69.3824
268,55800,115.4655
270,56400,90.3233
272,57000,120.5427
275,57600,59.4364
277,58200,75.182
280,58800,38.2659
283,59400,87.4352
285,60000,163.584
287,60600,49.2481
289,61200,146.4757
292,61800,72.3856
294,62400,152.8848
298,63000,-55.928
300,63600,125.7706
302,64200,124.1761
305,64800,63.7852
308,65400,18.4469
311,66000,62.521
313,66600,78.449
315,67200,80.9879
317,67800,143.2266
320,68400,28.1541
322,69000,109.7744
324,69600,143.9302
326,70200,44.9652
328,70800,77.6177
330,71400,125.9542
333,72000,98.9816
335,72600,89.3386
338,73200,68.2387
341,73800,78.1392
343,74400,165.4526
345,75000,112.8436
347,75600,132.6248
349,76200,146.6005
353,76800,43.4393
356,77400,40.0628
359,78000,100.5007
361,78600,156.8646
363,79200,14.9794
365,79800,116.392
368,80400,60.9055
370,81000,120.4144
372,81600,116.5057
374,82200,140.1212
376,82800,147.1942
380,83400,44.3189
382,84000,125.8868
384,84600,84.5241
387,85200,112.4714
389,85800,124.3243
392,86400,101.1214
394,87000,141.6946
396,87600,111.8651
398,88200,140.3365
400,88800,110.5645
402,89400,132.2979
404,90000,119.8515
408,90600,52.8695
410,91200,143.9155
412,91800,190.6982
415,92400,81.0989
417,93000,113.3477
419,93600,68.0484
421,94200,134.4463
423,94800,101.7322
426,95400,99.899
429,96000,78.3641
432,96600,71.4461
434,97200,90.499
436,97800,184.4623
438,98400,134.3473
441,99000,77.9426
444,99600,88.2216
