episode,timestep,reward
5,600,-188.8054
11,1200,-304.9481
17,1800,-131.111
24,2400,-191.107
30,3000,-205.7337
36,3600,-235.7324
41,4200,-230.5806
47,4800,-150.8692
53,5400,-195.7649
58,6000,-164.0182
65,6600,-154.8899
70,7200,-154.7957
74,7800,-194.7254
80,8400,-142.8673
85,9000,-231.2718
89,9600,-186.8332
96,10200,-159.9234
102,10800,-123.4359
108,11400,-79.9302
113,12000,-211.8718
119,12600,-96.1779
123,13200,-211.8438
127,13800,-70.9796
132,14400,-129.7327
138,15000,-115.9007
143,15600,-96.2484
148,16200,-103.0302
154,16800,-111.1568
159,17400,-82.8471
165,18000,-97.9285
170,18600,-103.976
176,19200,-81.1562
181,19800,-75.0557
184,20400,-88.5588
189,21000,-98.3421
193,21600,-62.8515
197,22200,-48.8747
201,22800,-74.5293
206,23400,-39.2006
212,24000,-58.7353
217,24600,-68.5869
221,25200,-64.6233
225,25800,-63.9928
229,26400,-31.3683
232,27000,30.3661
235,27600,53.8384
238,28200,-24.8269
241,28800,-95.8087
246,29400,-2.3388
251,30000,10.7005
254,30600,20.4518
256,31200,2.4386
260,31800,51.8616
263,32400,46.5506
266,33000,-23.4708
269,33600,43.9091
272,34200,44.0048
274,34800,85.3216
276,35400,75.6288
278,36000,26.2863
281,36600,-25.2022
283,37200,75.8843
285,37800,89.2067
287,38400,11.6469
289,39000,54.9887
291,39600,42.1825
293,40200,103.4253
296,40800,40.8223
299,41400,-14.1898
301,42000,76.4772
303,42600,-4.473
306,43200,25.1359
309,43800,36.6207
311,44400,44.6012
314,45000,15.1592
317,45600,51.7982
319,46200,31.6871
321,46800,15.6018
323,47400,106.9444
325,48000,28.6211
327,48600,39.9153
329,49200,43.4169
331,49800,26.1672
334,50400,56.8464
336,51000,115.6291
338,51600,103.6923
341,52200,4.1073
343,52800,97.1733
346,53400,27.1512
348,54000,38.948
351,54600,104.908
353,55200,155.6119
355,55800,135.8241
358,56400,67.0508
360,57000,81.9347
362,57600,113.2366
365,58200,54.2868
367,58800,71.7072
369,59400,64.2185
372,60000,64.0095
374,60600,118.6331
376,61200,74.3377
378,61800,116.9359
381,62400,109.1082
383,63000,99.0748
385,63600,64.6793
388,64200,73.8558
390,64800,91.995
392,65400,136.4819
394,66000,165.397
396,66600,170.0176
398,67200,126.9814
400,67800,68.1617
402,68400,154.1997
404,69000,146.7965
406,69600,135.4042
409,70200,94.5402
411,70800,95.406
413,71400,143.1691
415,72000,106.1697
417,72600,122.8711
419,73200,143.8343
422,73800,102.777
424,74400,159.3911
426,75000,136.5412
428,75600,76.636
431,76200,102.7929
433,76800,81.0763
435,77400,143.4422
437,78000,135.8781
439,78600,128.539
441,79200,-1.1939
443,79800,152.2494
445,80400,122.3084
448,81000,70.652
450,81600,101.8291
452,82200,72.4099
454,82800,21.7041
457,83400,33.8694
459,84000,144.9993
462,84600,82.3388
464,85200,34.78
466,85800,95.1002
468,86400,141.7416
470,87000,75.2393
472,87600,47.3454
474,88200,70.6478
476,88800,152.7214
478,89400,70.1133
480,90000,139.9979
483,90600,105.9286
485,91200,68.6859
487,91800,52.5243
489,92400,124.1577
491,93000,123.5205
494,93600,111.7595
496,94200,37.2876
498,94800,95.3627
500,95400,110.1524
502,96000,89.1021
504,96600,89.2758
506,97200,119.5604
508,97800,50.5137
511,98400,101.9159
513,99000,101.5461
515,99600,109.5079
