episode,timestep,reward
11,800,-152.9338
23,1600,-141.068
33,2400,-175.8741
45,3200,-159.691
57,4000,-155.1672
67,4800,-131.2333
78,5600,-122.9983
90,6400,-134.516
101,7200,-156.2071
111,8000,-121.5441
123,8800,-140.7426
134,9600,-116.5604
146,10400,-132.9716
157,11200,-123.535
169,12000,-138.6338
182,12800,-125.1984
193,13600,-125.7951
204,14400,-141.2134
216,15200,-119.5911
228,16000,-116.1995
239,16800,-138.4379
251,17600,-127.8899
261,18400,-123.6796
274,19200,-115.6412
284,20000,-148.1591
296,20800,-129.9473
307,21600,-128.2472
319,22400,-126.3299
331,23200,-120.8591
343,24000,-124.5293
354,24800,-124.1607
365,25600,-126.491
377,26400,-118.5054
388,27200,-125.5961
398,28000,-129.6608
411,28800,-121.7309
422,29600,-121.0852
432,30400,-120.7369
444,31200,-119.5052
456,32000,-112.503
466,32800,-125.9909
478,33600,-115.9446
490,34400,-117.2738
501,35200,-124.5219
513,36000,-120.0376
525,36800,-118.0208
537,37600,-126.9106
549,38400,-115.3972
560,39200,-117.2972
572,40000,-114.3007
584,40800,-116.7325
595,41600,-120.6974
607,42400,-115.5161
618,43200,-112.4775
631,44000,-112.9042
642,44800,-119.0701
655,45600,-114.769
667,46400,-121.6803
679,47200,-116.5679
691,48000,-108.4499
702,48800,-115.0309
713,49600,-116.1489
724,50400,-109.4665
735,51200,-116.4112
746,52000,-110.0862
758,52800,-106.2383
770,53600,-109.8271
782,54400,-117.4194
793,55200,-112.67
804,56000,-109.7591
816,56800,-110.336
827,57600,-119.0277
839,58400,-108.224
851,59200,-114.6089
862,60000,-108.4558
874,60800,-113.325
885,61600,-121.6909
897,62400,-116.822
908,63200,-114.9767
919,64000,-112.1268
931,64800,-111.4017
942,65600,-117.4155
953,66400,-115.6034
965,67200,-117.4487
977,68000,-107.1814
988,68800,-122.1221
1000,69600,-112.3727
1012,70400,-114.1887
1024,71200,-109.4644
1036,72000,-107.6659
1047,72800,-121.0844
1058,73600,-114.8547
1070,74400,-112.3709
1080,75200,-114.4087
1092,76000,-112.0866
1104,76800,-111.2403
1115,77600,-109.9437
1127,78400,-105.3754
1138,79200,-114.2047
1149,80000,-112.1077
1161,80800,-105.5206
1172,81600,-117.3363
1183,82400,-116.6043
1194,83200,-115.337
1206,84000,-111.061
1218,84800,-113.0159
1229,85600,-113.0285
1241,86400,-112.2677
1251,87200,-107.9999
1264,88000,-101.198
1276,88800,-109.2964
1287,89600,-112.323
1299,90400,-111.1801
1311,91200,-106.9128
1322,92000,-115.2056
1334,92800,-116.7427
1345,93600,-112.2693
1356,94400,-107.8752
1367,95200,-114.7593
1380,96000,-108.5835
1392,96800,-110.0117
1403,97600,-110.5795
1414,98400,-111.5066
1426,99200,-111.1597
1437,100000,-105.715
